ASID,Rotation,TYPE,ASSET_ID,SOURCE_ID,ACCESS,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,DEP_DAS_ID,CONDITION_,RISK_RATIN,SWEEPING_M,SWEEPING_I,INSP1,DATE_INSP1,INSP2,DATE_INSP2,INSP3,DATE_INSP3,INSP4,DATE_INSP4,INSP5,DATE_INSP5,INSP6,DATE_INSP6,INSP7,DATE_INSP7,INSP8,DATE_INSP8,INSP9,DATE_INSP9,INSP10,DATE_INS00,LAST_MAINT,ASSET_INFO,CONSQ_FAIL,SRVY_DATE,SRVY_TIME,SECTION,XSP,STCHAIN,ENDCHAIN,START_DATE,_DBFOCode,_Source,CreateDate,UserID
"61","0","","*","2600000061","","CONCRETE","11.477444124","1.000000000","434703.280783186","557372.752964323","434710.783788788","557364.125433928","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/171","L1","444.970000000","455.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"62","0","","*","2600000062","","ASPHALT","8.283507031","2.200000000","434890.781717686","555091.186056057","434882.685067685","555089.436556846","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/182","R1","10.550000000","15.830000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"63","0","","*","2600000063","","ASPHALT","8.032778576","2.000000000","434883.559044161","555198.685284723","434875.561334893","555199.435070099","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/181","R1","709.750000000","713.670000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"64","0","","*","2600000064","","ASPHALT","7.542407013","1.600000000","435622.341254003","552443.623912837","435617.691039542","552437.685612658","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/193","R1","589.590000000","590.890000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"65","0","","*","2600000065","","ASPHALT","5.586922522","4.500000000","435625.284740816","552448.372553553","435622.341254003","552443.623912837","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/193","R1","590.890000000","591.240000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"66","0","","*","2600000066","","ASPHALT","18.186681950","1.600000000","435621.310621365","552462.128615921","435638.658229922","552457.749869324","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/193","L1","581.240000000","596.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"67","0","","*","2600000067","","ASPHALT","6.279503070","1.600000000","440073.000501194","550096.875662536","440066.965116468","550095.496057444","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/440","R1","451.950000000","457.850000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"68","0","","*","2600000068","","ASPHALT","12.268239112","1.500000000","441079.689481394","546667.567291846","441085.906257464","546657.750101987","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/524","R1","12.880000000","22.290000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"69","0","","*","2600000069","","ASPHALT","5.507948012","1.500000000","441098.282094176","546657.370210730","441099.469382975","546662.748671162","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/524","L2","16.540000000","21.950000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"70","0","","*","2600000070","","ASPHALT","5.772182811","3.600000000","441054.096811736","546705.126540623","441057.378346054","546700.377899907","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/521","R1","519.660000000","523.980000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"71","0","","*","2600000071","","CONCRETE","11.800007521","3.000000000","441057.312385565","546714.503856394","441068.871961229","546712.814340013","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/521","L1","520.570000000","532.790000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"72","0","","*","2600000072","","ASPHALT","61.135987528","10.000000000","444368.058955284","499324.629066945","444381.127377129","499264.906162449","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/886","L2","229.710000000","313.840000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"73","0","","*","2600000073","","ASPHALT","21.862536159","2.000000000","446831.815133270","520568.498072698","446849.814101654","520579.784841894","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/388","L1","29.760000000","47.260000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"74","0","","*","2600000074","","BLOCK PAVING","54.095178008","1.500000000","446860.433740352","520584.153591352","446913.589649271","520587.342678485","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/388","L1","57.420000000","103.640000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"75","0","","*","2600000075","","ASPHALT","18.700776559","2.000000000","446849.814101654","520579.784841894","446862.090997634","520593.870809827","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/388","L2","47.260000000","62.530000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"76","0","","*","2600000076","","ASPHALT","461.289448458","3.000000000","446688.186168889","520543.315281197","446254.627875949","520693.692236241","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/395","L2","90.860000000","561.240000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"77","0","","*","2600000077","","ASPHALT","54.518000113","3.500000000","446741.309097564","520531.188752380","446688.186168889","520543.315281197","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/395","L1","34.580000000","90.860000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"78","0","","*","2600000078","","ASPHALT","128.198294470","3.500000000","446839.433569728","520459.219353406","446741.309097564","520531.188752380","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/392","L1","7.920000000","96.880000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"79","0","","*","2600000079","","ASPHALT","24.430907264","2.500000000","446499.341289430","518578.717641421","446521.784345747","518582.686505346","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A66/178","L1","10.180000000","33.390000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"80","0","","*","2600000080","","ASPHALT","17.282334084","3.200000000","444624.909098706","526157.688183671","444639.090603799","526167.565356359","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/239","L1","0.000000000","17.390000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"81","0","","*","2600000081","","ASPHALT","38.709629896","2.500000000","446976.969433955","520482.872582739","446939.058643012","520482.402717237","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/387","R2","0.000000000","25.420000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"82","0","","*","2600000082","","ASPHALT","34.015374540","3.500000000","446932.965542859","520458.129665326","446900.438776815","520449.122243673","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/382","L1","30.350000000","31.670000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"83","0","","*","2600000083","","ASPHALT","20.172970394","2.500000000","446952.844385173","520455.500417940","446932.965542859","520458.129665326","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/382","L2","7.730000000","31.670000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"84","0","","*","2600000084","","ASPHALT","18.390515755","2.500000000","446969.936396836","520448.812332384","446952.844385173","520455.500417940","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/385","L2","358.460000000","374.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"85","0","","*","2600000085","","ASPHALT","140.525414801","2.000000000","447083.215291304","520367.655563268","446969.936396836","520448.812332384","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/385","L2","216.160000000","358.460000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"86","0","","*","2600000086","","ASPHALT","9.541221751","1.000000000","444968.126257161","522689.091059270","444976.750591073","522690.910538449","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/227","L2","5.650000000","8.090000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"87","0","","*","2600000087","","ASPHALT","8.028335593","2.000000000","445053.091611808","521862.717606210","445045.093902540","521862.097783632","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/397","L1","413.490000000","414.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"88","0","","*","2600000088","","ASPHALT","16.290861902","1.500000000","451662.563452160","515662.252470892","451672.746102620","515649.536110913","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/67","R1","11.630000000","23.800000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"89","0","","*","2600000089","","ASPHALT","10.015135677","1.500000000","451657.187672323","515675.408704960","451665.127666163","515669.340441982","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/67","L2","0.470000000","10.770000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"90","0","","*","2600000090","","CONCRETE","3.374368533","1.000000000","451632.435998897","515649.066245410","451632.246362492","515652.435281034","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/53","L2","27.560000000","30.830000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"91","0","","*","2600000091","","ASPHALT","23.067447534","1.500000000","449303.313423631","515406.745608971","449312.844714264","515385.871584098","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A174/33","L2","587.270000000","611.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"92","0","","*","2600000092","","ASPHALT","90.287366378","1.000000000","442508.533835031","484978.655559145","442503.001399032","485068.749769946","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/694","L1","545.420000000","636.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"93","0","","*","2600000093","","ASPHALT","329.199544032","1.000000000","442533.656536206","484651.629169476","442508.533835031","484978.655559145","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/694","L2","212.850000000","545.420000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"94","0","","*","2600000094","","ASPHALT","145.879359142","1.000000000","442522.904976530","484495.533851296","442532.378551735","484641.032202826","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/694","L2","55.380000000","202.090000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"95","0","","*","2600000095","","ASPHALT","51.731681805","1.000000000","442512.532689665","484446.497887694","442522.904976530","484495.533851296","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/694","L2","0.000000000","55.380000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"96","0","","*","2600000096","","ASPHALT","16.303450003","1.000000000","442503.438387270","484432.971759508","442512.532689665","484446.497887694","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/672","L2","67.290000000","88.760000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"97","0","","*","2600000097","","ASPHALT","51.774625439","1.000000000","442525.403230044","484371.939229888","442491.779870873","484409.498478665","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/672","L2","9.960000000","47.630000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"98","0","","*","2600000098","","ASPHALT","12.586072383","1.000000000","443938.903524972","481673.531641026","443951.468998090","481674.251434987","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/594","L2","0.000000000","11.510000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"99","0","","*","2600000099","","ASPHALT","15.544322280","1.000000000","443926.090700021","481590.435427069","443912.840886831","481598.563100547","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A168/272","L2","434.640000000","445.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"100","0","","*","2600000100","","ASPHALT","26.930877779","1.500000000","437623.904041845","473420.284108557","437650.345952796","473416.495193123","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A168/120","L1","0.000000000","26.950000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"101","0","","*","2600000101","","ASPHALT","481.235593594","1.500000000","440964.440017322","538778.375549491","441084.941585315","538318.127294184","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/650","L2","0.000000000","485.550000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"102","0","","*","2600000102","","ASPHALT","54.832920455","2.000000000","441507.467986502","541052.504586826","441501.407866593","540998.120154208","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/630","L1","68.450000000","124.940000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"103","0","","*","2600000103","","ASPHALT","65.301765080","1.500000000","441520.313791697","541116.186358108","441507.467986502","541052.504586826","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/630","L2","0.000000000","68.450000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"104","0","","*","2600000104","","ASPHALT","162.776485572","1.000000000","441379.784970290","542722.126662478","441381.466962755","542559.373250158","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/607","R2","0.000000000","158.860000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"105","0","","*","2600000105","","ASPHALT","357.455778669","1.500000000","441391.938190353","542561.122749369","441412.691009145","542204.434850218","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/607","L1","157.070000000","509.850000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"106","0","","*","2600000106","","ASPHALT","14.346444222","3.600000000","455726.809665787","520866.312824112","455741.065376431","520867.872377694","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A1053/10","L1","17.480000000","19.960000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"107","0","","*","2600000107","","ASPHALT","16.907424439","2.500000000","455744.404626177","520882.218271225","455735.870987937","520867.622449236","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A1053/10","L2","0.000000000","18.080000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"108","0","","*","2600000108","","ASPHALT","236.742124591","3.000000000","440616.003735190","547833.683494555","440622.814155659","547597.371138264","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/515","L2","711.810000000","950.550000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"109","0","","*","2600000109","","CONCRETE","83.673847755","2.000000000","440281.559321746","548990.812269889","440296.532352706","548909.125652440","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/510","L1","405.100000000","488.940000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"110","0","","*","2600000110","","ASPHALT","56.405699466","1.500000000","436804.938612795","551627.377560925","436856.659881082","551604.874002501","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/415","L2","836.280000000","893.640000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"111","0","","*","2600000111","","ASPHALT","27.659958473","1.500000000","434639.653646669","558828.686207767","434641.937528594","558801.124097339","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/110","L1","607.220000000","634.620000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"112","0","","*","2600000112","","ASPHALT","44.978461012","2.000000000","434628.498078999","558872.253736692","434639.653646669","558828.686207767","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/110","L1","562.450000000","607.220000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"113","0","","*","2600000113","","ASPHALT","27.458290677","1.500000000","434617.185855168","558897.126616904","434628.498078999","558872.253736692","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4525A19/110","L1","535.390000000","562.450000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"114","0","","*","2600000114","","ASPHALT","6.400880438","2.000000000","433844.903962072","560995.066087977","433846.940492164","560988.997824999","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/69","L1","1421.210000000","1427.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"115","0","","*","2600000115","","ASPHALT","55.828316728","1.500000000","433969.190013110","562843.436997308","433968.777760055","562787.622973906","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/49","L2","0.080000000","55.860000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"116","0","","*","2600000116","","ASPHALT","120.988774931","1.500000000","433672.813046770","564250.684176993","433693.532885317","564131.498293597","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/5","L2","668.210000000","790.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"117","0","","*","2600000117","","ASPHALT","21.312550545","2.000000000","433667.214650283","564271.248290577","433672.813046770","564250.684176993","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/5","L1","646.850000000","668.210000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"118","0","","*","2600000118","","ASPHALT","90.878634325","3.000000000","433651.878836635","564360.812653045","433667.214650283","564271.248290577","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/5","L1","555.440000000","646.850000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"119","0","","*","2600000119","","ASPHALT","16.429189681","2.000000000","433648.440646155","564376.878054371","433651.878836635","564360.812653045","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/5","L1","538.890000000","555.440000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"120","0","","*","2600000120","","ASPHALT","348.873708499","1.500000000","433486.779733146","564680.871037285","433648.440646155","564376.878054371","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/5","L2","191.070000000","538.890000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"121","0","","*","2600000121","","ASPHALT","187.174659836","2.000000000","433397.716583132","564844.504197780","433486.779733146","564680.871037285","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4520A19/5","L1","0.000000000","191.070000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
